Index[#version],Pointer[#version|],Original,Translated
030,0xc8402,<SFF>ヤンマ<*04>,<SFF>Yanma<*04>
031,0xc8404,<SFF>ナンマ<*04>,<SFF>Nanma<*04>
032,0xc8406,<SFF>メダリアは<CD>ぜんぶで<CD>なんしゅるい?<CD><*04>,<SFF>How many types of<D3>Medalias are there<D3>in total?<D3><*04>
033,0xc8408,<SFF>10しゅるい<*04>,<SFF>10 types<*04>
034,0xc840a,<SFF>12しゅるい<*04>,<SFF>12 types<*04>
035,0xc840c,<SFF>18しゅるい<*04>,<SFF>18 types<*04>
036,0xc840e,<SFF>「タ-ゲット<CD>きゅうしゅう」の<CD>パ-ツは どんな<CD>のうリょく?<*04>,<SFF>What ability do <f02>Absorb<f00><D3>parts have?<D3><*04>
037,0xc8410,<SFF>タ-ゲットが じぶんにあつまる<*04>,<SFF>All targets focus on you<*04>
038,0xc8412,<SFF>タナボタが おちてくる<*04>,<SFF>A windfall drops down<*04>
039,0xc8414,<SFF>とつぜん たなばたになる<*04>,<SFF>It suddenly becomes Tanabata<*04>
040,0xc8416,<SFF>カガミヤマの使う<CD>メダロットは<CD>どれ?<CD><*04>,<SFF>Which Medarot does<D3>Kagamiyama use?<D3><*04>
041,0xc8418,<SFF>ブラウンバイソン<*04>,<SFF>Brown Bison<*04>
042,0xc841a,<SFF>ダ-クパンサ-<*04>,<SFF>Dark Panther<*04>
043,0xc841c,<SFF>ストレイウォルフ<*04>,<SFF>Stray Wolf<*04>
044,0xc841e,<SFF>メダロットの<CD>租み立てがめんで<CD>スタ-トボタンを<CD>おすと どうなる?<*04>,<SFF>What happens if you<D3>press the Start button on<D3>the assembly screen?<*04>
045,0xc8420,<SFF>じゅんせいパ-ツで くむ<*04>,<SFF>Equips a pure set<*04>
046,0xc8422,<SFF>いリょくの高いパ-ツで くむ<*04>,<SFF>Equips high power parts<*04>
047,0xc8424,<SFF>アイテムがめんに うつる<*04>,<SFF>Moves to the item screen<*04>
048,0xc8426,<SFF>おどろ山で<CD>ゆうめいな<CD>メダロットは?<CD><*04>,<SFF>Which Medarot is famous<D3>at Mt. Odoro?<D3><*04>
049,0xc8428,<SFF>アカダイショウ<*04>,<SFF>Akadaishou<*04>
050,0xc842a,<SFF>ワカダイショウ<*04>,<SFF>Wakadaishou<*04>
051,0xc842c,<SFF>バカダイショウ<*04>,<SFF>Bakadaishou<*04>
052,0xc842e,<SFF>メダロ-ド大会の<CD>きゃくせきに<CD>いたのは?<CD><*04>,<SFF>Who was in the audience<D3>at the Medaroad<D3>tournament?<D3><*04>
053,0xc8430,<SFF>ミズチ<*04>,<SFF>Mizuchi<*04>
054,0xc8432,<SFF>カンちゃん<*04>,<SFF>Kan-chan<*04>
055,0xc8434,<SFF>トックリ<*04>,<SFF>Tokkuri<*04>
056,0xc8436,<SFF>カンちゃんの家に<CD>ぼうしを おいて<CD>行ったのは?<CD><*04>,<SFF>Who left their hat behind<D3>at Kan-chan's house?<D3><*04>
057,0xc8438,<SFF>レトルト<*04>,<SFF>Retort<*04>
058,0xc843a,<SFF>カガミヤマ<*04>,<SFF>Kagamiyama<*04>
059,0xc843c,<SFF>ムツキ<*04>,<SFF>Mutsuki<*04>
060,0xc843e,<SFF>だいだい<CD>しょうにんなのは?<CD><CD><*04>,<SFF>Who is mostly<D3>a merchant?<D3><D3><*04>
061,0xc8440,<SFF>ブンロク<*04>,<SFF>Bunroku<*04>
062,0xc8442,<SFF>ヒカル<*04>,<SFF>Hikaru<*04>
063,0xc8444,<SFF>メダロットはかせ<*04>,<SFF>Dr. Medarot<*04>
064,0xc8446,<SFF>この子は<CD>クラスメイトじゃ<CD>ないっ!!<CD><*04>,<SFF>This kid<D3>isn't a classmate!!<D3><D3><*04>
065,0xc8448,<SFF>ヨカイチ<*04>,<SFF>Yokaichi<*04>
066,0xc844a,<SFF>クロウマ<*04>,<SFF>Kurouma<*04>
067,0xc844c,<SFF>ナユタ<*04>,<SFF>Nayuta<*04>
068,0xc844e,<SFF>カメヤマ小の<CD>ダメロット部<CD>部いんは何人?<CD><*04>,<SFF>How many members<D3>are in Kameyama School's<D3>Damerot Club?<D3><*04>
069,0xc8450,<SFF>1人<*04>,<SFF>1 member<*04>
070,0xc8452,<SFF>4人<*04>,<SFF>4 members<*04>
071,0xc8454,<SFF>100人<*04>,<SFF>100 members<*04>
072,0xc8456,<SFF>今 花園学園で<CD>大リゅうこう<CD>してるのは?<CD><*04>,<SFF>What is currently a huge<D3>trend at Hanazono Academy?<D3><D3><*04>
073,0xc8458,<SFF>メダスピ-ドキング<*04>,<SFF>Meda-Speed King<*04>
074,0xc845a,<SFF>メダロ-ドレ-ス<*04>,<SFF>Meda-Road Race<*04>
075,0xc845c,<SFF>メダロットリレ-<*04>,<SFF>Medarot Relay<*04>
076,0xc845e,<SFF>今 サザンカ町で<CD>1番 ウワサに<CD>なっているのは?<CD><*04>,<SFF>What is the biggest rumor<D3>in Sazanka Town right now?<D3><D3><*04>
077,0xc8460,<SFF>町をかけるナゾのメイド少女<*04>,<SFF>A mysterious Maid Girl running through town<*04>
078,0xc8462,<SFF>らんぼうなコクエンしんえいたい<*04>,<SFF>The violent Black Flame Bodyguards<*04>
079,0xc8464,<SFF>大声のサザンカ道場しはん<*04>,<SFF>The loud Sazanka Dojo Master<*04>
080,0xc8466,<SFF>サザンカ道場に<CD>あるのは<CD>ウメリょう<CD>タケリょう<*04>,"<SFF>The Sazanka Dojo<D3>has the Ume Dorm,<D3>the Take Dorm, and...<*04>"
081,0xc8468,<SFF>マツリょう<*04>,<SFF>The Matsu Dorm<*04>
082,0xc846a,<SFF>サクラリょう<*04>,<SFF>The Sakura Dorm<*04>
083,0xc846c,<SFF>スギリょう<*04>,<SFF>The Sugi Dorm<*04>
084,0xc846e,<SFF>ウサオちゃんきっさ<CD>ここのマスタ-の<CD>名前は?<CD><*04>,<SFF>What is the name of<D3>the Usao-chan Cafe's<D3>master?<D3><*04>
085,0xc8470,<SFF>ユキエ<*04>,<SFF>Yukie<*04>
086,0xc8472,<SFF>ウサオ<*04>,<SFF>Usao<*04>
087,0xc8474,<SFF>リュウコ<*04>,<SFF>Ryuuko<*04>
088,0xc8476,<SFF>ダメロット部の<CD>こもんは?<CD><CD><*04>,<SFF>Who is the advisor<D3>of the Damerot Club?<D3><D3><*04>
089,0xc8478,<SFF>たまを<*04>,<SFF>Tamao<*04>
090,0xc847a,<SFF>リュウコ<*04>,<SFF>Ryuuko<*04>
091,0xc847c,<SFF>シメタ<*04>,<SFF>Shimeta<*04>
092,0xc847e,<SFF>レトルトレディの<CD>ゴッドエンペラ-の<CD>名前じゃないのは?<CD><*04>,<SFF>Which of these is not<D3>a name of Retort Lady's<D3>God Emperors?<D3><*04>
093,0xc8480,<SFF>ボルトス<*04>,<SFF>Porthos<*04>
094,0xc8482,<SFF>アラミス<*04>,<SFF>Aramis<*04>
095,0xc8484,<SFF>アトス<*04>,<SFF>Athos<*04>
096,0xc8486,<SFF>サザンカおんせんの<CD>こうのうは?<CD><CD><*04>,<SFF>What are the benefits of<D3>the Sazanka Hot Springs?<D3><D3><*04>
097,0xc8488,<SFF>うちみ ねんざに ききます<*04>,<SFF>Effective for bruises and sprains<*04>
098,0xc848a,<SFF>すリきず きリきずに ききます<*04>,<SFF>Effective for scrapes and cuts<*04>
099,0xc848c,<SFF>バカに ききます<*04>,<SFF>Effective for idiocy<*04>
100,0xc848e,<SFF>メダロ-ド大会当日<CD>おまえさんの食ベた<CD>朝ごはんは?<CD><*04>,<SFF>What did you have for<D3>breakfast on the day of<D3>the Medaroad Tournament?<D3><*04>
101,0xc8490,<SFF>おベんとうの おかずの のこリ<*04>,<SFF>Leftovers from my bento box<*04>
102,0xc8492,<SFF>ハムエッグ<*04>,<SFF>Ham and eggs<*04>
103,0xc8494,<SFF>ちゅうかがゆ<*04>,<SFF>Chinese porridge<*04>
104,0xc8496,<SFF>セレクトスリ-と<CD>あくしゅ<CD>できるのは?<CD><*04>,<SFF>Where can you<D3>shake hands with<D3>the Select Three?<D3><*04>
105,0xc8498,<SFF>メダロポリス<*04>,<SFF>Medaropolis<*04>
106,0xc849a,<SFF>おみくじ町<*04>,<SFF>Omikuji Town<*04>
107,0xc849c,<SFF>サザンカ町<*04>,<SFF>Sazanka Town<*04>
108,0xc849e,<SFF>花園学園の<CD>こうていに...<CD><CD><*04>,<SFF>In the courtyard of<D3>Hanazono Academy...<D3><D3><*04>
109,0xc84a0,<SFF>ボナパルトぞうが!<*04>,<SFF>There's a statue of Bonaparte!<*04>
110,0xc84a2,<SFF>ソルティぞうが!<*04>,<SFF>There's a statue of Salty!<*04>
111,0xc84a4,<SFF>レトルトぞうが!<*04>,<SFF>There's a statue of Retort!<*04>
112,0xc84a6,<SFF>サザンカ町で<CD>1番 つよい<CD>メダロッタ-が<CD>来たぞ-!<*04>,<SFF>The strongest Medafighter<D3>in Sazanka Town<D3>has arrived!<D3><*04>
113,0xc84a8,<SFF>ハハハハハハハハハハハハ<*04>,<SFF>Hahahahahahahahaha<*04>
114,0xc84aa,<SFF>うふふふふふふふふふふふ<*04>,<SFF>Ufufufufufufufufufufu<*04>
115,0xc84ac,<SFF>ふぉっふぉっふぉっふぉっ<*04>,<SFF>Fofofofofofofofo<*04>
116,0xc84ae,<SFF>レトルトさん<CD>たすけて!<CD><CD><*04>,"<SFF>Mr. Retort,<D3>save me!<D3><D3><*04>"
117,0xc84b0,<SFF>ハッ よんでいる!<*04>,<SFF>Gasp! Someone's calling me!<*04>
118,0xc84b2,<SFF>ん? 何か聞こえたような...<*04>,<SFF>Hm? I thought I heard something...<*04>
119,0xc84b4,<SFF>とくにすることないしね<*04>,<SFF>I've got nothing better to do anyway.<*04>
120,0xc84b6,<SFF>リバティ-スの<CD>リ-ダ-を<CD>どうくつから<CD>つれさったのは?<*04>,<SFF>Who took the leader<D3>of the Liberties<D3>from the cave?<D3><*04>
121,0xc84b8,<SFF>ロボロボ団<*04>,<SFF>The RoboRobo Gang<*04>
122,0xc84ba,<SFF>コクエンしんえいたい<*04>,<SFF>The Black Flame Bodyguards<*04>
123,0xc84bc,<SFF>レトルトレディ<*04>,<SFF>Retort Lady<*04>
124,0xc84be,<SFF>みなさん<CD>おまたせしました!<CD>メダロッタ-たちの<CD>アイドル!<*04>,"<SFF>Thank you for waiting,<D3>everyone!<D3>The idol of all Medafighters!<*04>"
125,0xc84c0,<SFF>ミス.ちまきです!!<*04>,<SFF>It's Miss Chimaki!!<*04>
126,0xc84c2,<SFF>ミス.うるちです!!<*04>,<SFF>It's Miss Uruchi!!<*04>
127,0xc84c4,<SFF>ミス.こまちです!!<*04>,<SFF>It's Miss Komachi!!<*04>
128,0xc84c6,<SFF>わしは<CD>サザンカ道場しはん<CD><CD><*04>,"<SFF>I am the Master of<D3>the Sazanka Dojo,<D3><D3><*04>"
129,0xc84c8,<SFF>シオカ ライゾウであ-る!<*04>,<SFF>Raizou Shioka!<*04>
130,0xc84ca,<SFF>シメタ ライゾウであ-る!<*04>,<SFF>Raizou Shimeta!<*04>
131,0xc84cc,<SFF>シオカ ジョウゾウであ-る!<*04>,<SFF>Jouzo Shioka!<*04>
132,0xc84ce,<SFF>サザンカ道場で<CD>どのヘやに<CD>とまった?<CD><*04>,<SFF>Which dorm room did you<D3>stay in at the<D3>Sazanka Dojo?<D3><*04>
133,0xc84d0,<SFF>マツリょう<*04>,<SFF>The Matsu Dorm<*04>
134,0xc84d2,<SFF>タケリょう<*04>,<SFF>The Take Dorm<*04>
135,0xc84d4,<SFF>ウメリょう<*04>,<SFF>The Ume Dorm<*04>
136,0xc84d6,<SFF>サザンカで<CD>たたかった<CD>ロボロボかんぶは?<CD><*04>,<SFF>Which RoboRobo Gang<D3>executive did you<D3>fight in Sazanka?<D3><*04>
137,0xc84d8,<SFF>シオカラ<*04>,<SFF>Shiokara<*04>
138,0xc84da,<SFF>サケカ-ス<*04>,<SFF>Sakekaasu<*04>
139,0xc84dc,<SFF>サラミ<*04>,<SFF>Salami<*04>
140,0xc84de,<SFF>シオカラは?<CD><CD><CD><*04>,<SFF>Who is Shiokara?<D3><D3><D3><*04>
141,0xc84e0,<SFF>ろうじんかんぶ<*04>,<SFF>An elderly executive<*04>
142,0xc84e2,<SFF>中年かんぶ<*04>,<SFF>A middle-aged executive<*04>
143,0xc84e4,<SFF>ようじかんぶ<*04>,<SFF>A toddler executive<*04>
144,0xc84e6,<SFF>セレクト隊に<CD>つかまっちゃった<CD><CD><*04>,<SFF>I got caught by<D3>the Select Corps...<D3><D3><*04>
145,0xc84e8,<SFF>キララさんが たすけに きた<*04>,<SFF>Kirara came to save me<*04>
146,0xc84ea,<SFF>ヒカルさんが たすけに きた<*04>,<SFF>Hikaru came to save me<*04>
147,0xc84ec,<SFF>ミズチが たすけに きた<*04>,<SFF>Mizuchi came to save me<*04>
148,0xc84ee,<SFF>メダロ-ド大会<CD>けっしょうの<CD>あいては<CD>アリカと<*04>,<SFF>Who was Arika's partner in the<D3>Medaroad Tournament<D3>finals?<D3><*04>
149,0xc84f0,<SFF>ブンロク<*04>,<SFF>Bunroku<*04>
150,0xc84f2,<SFF>グイノミ<*04>,<SFF>Guinomi<*04>
151,0xc84f4,<SFF>ヒカル<*04>,<SFF>Hikaru<*04>
152,0xc84f6,<SFF>ウサオちゃん<CD>きっさに<CD>あの人が...!!<CD><*04>,<SFF>At the Usao-chan Cafe...<D3>That person was there!!<D3><D3><*04>
153,0xc84f8,<SFF>ヒカルさん<*04>,<SFF>Hikaru<*04>
154,0xc84fa,<SFF>ハチロウ<*04>,<SFF>Hachirou<*04>
155,0xc84fc,<SFF>コウジ<*04>,<SFF>Kouji<*04>
156,0xc84fe,<SFF>ぶしつに<CD>つかまってたのは<CD>リんたろう<CD>みはっていたのは?<*04>,<SFF>Rintarou was locked<D3>in the club room.<D3>Who was guarding him?<*04>
157,0xc8500,<SFF>ロボロボ団<*04>,<SFF>The RoboRobo Gang<*04>
158,0xc8502,<SFF>コクエンしんえいたい<*04>,<SFF>The Black Flame Bodyguards<*04>
159,0xc8504,<SFF>グラッチェ<*04>,<SFF>Grazie<*04>
160,0xc8506,<SFF>きゅうこうしゃに<CD>つかまっていたのは<CD>リんたろうたち<CD>みはっていたのは?<*04>,<SFF>Rintarou and the others were<D3>locked in the old school building.<D3>Who was guarding them?<*04>
161,0xc8508,<SFF>グラッチェ<*04>,<SFF>Grazie<*04>
162,0xc850a,<SFF>ロボロボ団<*04>,<SFF>The RoboRobo Gang<*04>
163,0xc850c,<SFF>コクエンしんえいたい<*04>,<SFF>The Black Flame Bodyguards<*04>
164,0xc850e,<SFF>アリカのつくった<CD>オニギリ<CD>中のぐは?<CD><*04>,<SFF>What was inside the<D3>rice balls that Arika made?<D3><D3><*04>
165,0xc8510,<SFF>たくあん<*04>,<SFF>Pickled radish<*04>
166,0xc8512,<SFF>うめぼし<*04>,<SFF>Pickled plum<*04>
167,0xc8514,<SFF>ツナマヨネ-ズ<*04>,<SFF>Tuna mayonnaise<*04>
168,0xc8516,<SFF>リバティ-ズの<CD>あいことばは?<CD><CD><*04>,<SFF>What is the password<D3>for the Liberties?<D3><D3><*04>
169,0xc8518,<SFF>お茶しない?<*04>,<SFF>Wanna get some tea?<*04>
170,0xc851a,<SFF>えいが行かない?<*04>,<SFF>Wanna go to a movie?<*04>
171,0xc851c,<SFF>ゴハン食ベに行かない?<*04>,<SFF>Wanna go get some food?<*04>
172,0xc851e,<SFF>たまを先生の<CD>名字は?<CD><CD><*04>,<SFF>What is Tamao-sensei's<D3>last name?<D3><D3><*04>
173,0xc8520,<SFF>さとう<*04>,<SFF>Satou<*04>
174,0xc8522,<SFF>たなか<*04>,<SFF>Tanaka<*04>
175,0xc8524,<SFF>やまだ<*04>,<SFF>Yamada<*04>
176,0xc8526,<SFF>リんたろうは<CD>どうやって<CD>ぶしつから<CD>出てきた?<*04>,<SFF>How did Rintarou<D3>get out of the<D3>club room?<D3><*04>
177,0xc8528,<SFF>カンタロスが トビラをこわした<*04>,<SFF>Kantaroth broke the door down<*04>
178,0xc852a,<SFF>コウジが トビラをあけた<*04>,<SFF>Kouji opened the door<*04>
179,0xc852c,<SFF>アリカが トビラをけやぶった<*04>,<SFF>Arika kicked the door down<*04>
180,0xc852e,<SFF>リんたろう<CD>はつとうじょうの<CD>さいしょの<CD>セリフは?<*04>,<SFF>What was Rintarou's<D3>very first<D3>line?<D3><*04>
181,0xc8530,<SFF>うてぇ~ カンタロス!!<*04>,<SFF>Shoot~ Kantaroth!!<*04>
182,0xc8532,<SFF>やっと 出られただぜェ!<*04>,<SFF>I'm finally out, daze!<*04>
183,0xc8534,<SFF>たすかっただぜェ!<*04>,<SFF>I'm saved, daze!<*04>
184,0xc8536,<SFF>ダメロット部の<CD>元部長の名前は?<CD><CD><*04>,<SFF>What is the name of<D3>the former club president<D3>of the Damerot Club?<D3><*04>
185,0xc8538,<SFF>サメジマ ハスケ<*04>,<SFF>Hasuke Samejima<*04>
186,0xc853a,<SFF>シャチジマ ハスケ<*04>,<SFF>Hasuke Shachijima<*04>
187,0xc853c,<SFF>フカジマ ハスケ<*04>,<SFF>Hasuke Fukajima<*04>
188,0xc853e,<SFF>カメヤマ町を<CD>まもっているのは?<CD><CD><*04>,<SFF>Who is protecting<D3>Kameyama Town?<D3><D3><*04>
189,0xc8540,<SFF>ひとつばし るリよ<*04>,<SFF>Ruriyo Hitotsubashi<*04>
190,0xc8542,<SFF>なみしま リんたろう<*04>,<SFF>Rintarou Namishima<*04>
191,0xc8544,<SFF>せいご きちのすけ<*04>,<SFF>Kichinosuke Seigo<*04>
192,0xc8546,<SFF>花園学園を<CD>かいほうした<CD>メダロッタ-は?<CD><*04>,<SFF>Who is the Medafighter<D3>who liberated<D3>Hanazono Academy?<D3><*04>
193,0xc8548,<SFF>カイバ リョウ<*04>,<SFF>Ryou Kaiba<*04>
194,0xc854a,<SFF>カラクチ コウジ<*04>,<SFF>Kouji Karakuchi<*04>
195,0xc854c,<SFF>アマクチ コウジ<*04>,<SFF>Kouji Amakuchi<*04>
196,0xc854e,<SFF>コクエンとの<CD>ロボトルの時<CD>その場に生えていた<CD>木は何本?<*04>,<SFF>How many trees were growing<D3>in the area during the<D3>Robattle with Kokuen?<D3><*04>
197,0xc8550,<SFF>1本<*04>,<SFF>1 tree<*04>
198,0xc8552,<SFF>2本<*04>,<SFF>2 trees<*04>
199,0xc8554,<SFF>3本<*04>,<SFF>3 trees<*04>
200,0xc8556,<SFF>ハスケの使う<CD>メダロットは?<CD><CD><*04>,<SFF>Which Medarot<D3>does Hasuke use?<D3><D3><*04>
201,0xc8558,<SFF>シアンドッグ<*04>,<SFF>Cyan Dog<*04>
202,0xc855a,<SFF>パ-プルカ-ラ-<*04>,<SFF>Purple Collar<*04>
203,0xc855c,<SFF>ブル-スドッグ<*04>,<SFF>Bluesdog<*04>
204,0xc855e,<SFF>ハスケの使う<CD>メダロットの<CD>名前は?<CD><*04>,<SFF>What is the name of<D3>the Medarot that<D3>Hasuke uses?<D3><*04>
205,0xc8560,<SFF>ドギ-<*04>,<SFF>Doggy<*04>
206,0xc8562,<SFF>バギ-<*04>,<SFF>Buggy<*04>
207,0xc8564,<SFF>ブギ-<*04>,<SFF>Boogie<*04>
208,0xc8566,<SFF>カメヤマ小学校を<CD>かいほうしたと<CD>言われているのは<CD>メイドすがたの<*04>,<SFF>Who is said to have<D3>liberated Kameyama School<D3>while dressed as a maid?<D3><*04>
209,0xc8568,<SFF>ジャンヌ.ダルク<*04>,<SFF>Jeanne d'Arc<*04>
210,0xc856a,<SFF>マリア<*04>,<SFF>Maria<*04>
211,0xc856c,<SFF>アマゾネス<*04>,<SFF>Amazoness<*04>
212,0xc856e,<SFF>カメヤマ小学校の<CD>校長先生は どこ?<CD><CD><*04>,<SFF>Where is the principal of<D3>Kameyama School?<D3><D3><*04>
213,0xc8570,<SFF>じつは 近くにいた<*04>,<SFF>He was actually nearby<*04>
214,0xc8572,<SFF>海のむこう<*04>,<SFF>Across the sea<*04>
215,0xc8574,<SFF>星のかなた<*04>,<SFF>Beyond the stars<*04>
216,0xc8576,<SFF>さらわれた<CD>女の子たちは<CD>カリンちゃんを<CD>あわせて<*04>,<SFF>How many girls were kidnapped,<D3>including<D3>Karin-chan?<D3><*04>
217,0xc8578,<SFF>5人<*04>,<SFF>5 girls<*04>
218,0xc857a,<SFF>4人<*04>,<SFF>4 girls<*04>
219,0xc857c,<SFF>6人<*04>,<SFF>6 girls<*04>
220,0xc857e,<SFF>女メダコ-チ<CD>せいごきちのすけの<CD>使うメダロットは?<CD><*04>,<SFF>Which Medarot does the female<D3>Meda-Coach,<D3>Kichinosuke Seigo, use?<D3><*04>
221,0xc8580,<SFF>キタマツイチゴウ<*04>,<SFF>Kitamatsu Ichigou<*04>
222,0xc8582,<SFF>チカマツイチゴウ<*04>,<SFF>Chikamatsu Ichigou<*04>
223,0xc8584,<SFF>キタマツシチゴウ<*04>,<SFF>Kitamatsu Shichigou<*04>
224,0xc8586,<SFF>ウサオちゃんきっさ<CD>ここのトップスタ-<CD>なのは だれ?<CD><*04>,<SFF>Who is the top star<D3>of the<D3>Usao-chan Cafe?<D3><*04>
225,0xc8588,<SFF>バニ-ガ-ル<*04>,<SFF>Bunny Girl<*04>
226,0xc858a,<SFF>コンパニオン<*04>,<SFF>Companion<*04>
227,0xc858c,<SFF>女子高生<*04>,<SFF>High School Girl<*04>
228,0xc858e,<SFF>カメヤマ小の<CD>リバティ-ズの<CD>アジトは もともと<CD>何だった?<*04>,<SFF>What did the Liberties'<D3>hideout at Kameyama School<D3>used to be?<D3><*04>
229,0xc8590,<SFF>そうこ<*04>,<SFF>A warehouse<*04>
230,0xc8592,<SFF>おんがくしつ<*04>,<SFF>A music room<*04>
231,0xc8594,<SFF>しょくいんしつ<*04>,<SFF>A staff room<*04>
232,0xc8596,<SFF>ヤナギが<CD>さいきん<CD>こってるモノは?<CD><*04>,<SFF>What has Yanagi<D3>been into<D3>lately?<D3><*04>
233,0xc8598,<SFF>つけものを作る<*04>,<SFF>Making pickles<*04>
234,0xc859a,<SFF>さかなをつる<*04>,<SFF>Catching fish<*04>
235,0xc859c,<SFF>みそしるを作る<*04>,<SFF>Making miso soup<*04>
236,0xc859e,<SFF>おまえさんが<CD>レトルトの ふくを<CD>きた時の名前は?<CD><*04>,<SFF>What was your name<D3>when you wore<D3>Retort's clothes?<D3><*04>
237,0xc85a0,<SFF>快盗Xかめん<*04>,<SFF>Phantom Thief Kamen X<*04>
238,0xc85a2,<SFF>チョンマゲ王子X<*04>,<SFF>Topknot Prince X<*04>
239,0xc85a4,<SFF>かめんメダロッタ-X<*04>,<SFF>Masked Medafighter X<*04>
240,0xc85a6,<SFF>アオダイショウは<CD>何という名前の<CD>メダロット?<CD><*04>,<SFF>What is the name of the<D3>Medarot that<D3>Aodaishou uses?<D3><*04>
241,0xc85a8,<SFF>マックスネイク<*04>,<SFF>Max Snake<*04>
242,0xc85aa,<SFF>マクドスネイク<*04>,<SFF>Macdo Snake<*04>
243,0xc85ac,<SFF>マックスネ-ク<*04>,<SFF>Max Snook<*04>
244,0xc85ae,<SFF>サザンカ町で<CD>マスタ-のかわリに<CD>買いものを<CD>していたのは?<*04>,<SFF>Who was doing the shopping<D3>in Sazanka Town<D3>instead of their master?<D3><*04>
245,0xc85b0,<SFF>ハムエニシ-ン<*04>,<SFF>Ham-e-n-shin<*04>
246,0xc85b2,<SFF>ハイジラフ<*04>,<SFF>High Giraffe<*04>
247,0xc85b4,<SFF>ニンニンジャ<*04>,<SFF>Nin-Ninja<*04>
248,0xc85b6,<SFF>リんたろうが<CD>きゅうこうしゃの<CD>ろうやを やぶった<CD>パ-ツは?<*04>,<SFF>What part did Rintarou use<D3>to break out of the jail<D3>in the old school building?<D3><*04>
249,0xc85b8,<SFF>グロ-ブラスタ-<*04>,<SFF>Grow Blaster<*04>
250,0xc85ba,<SFF>グロ-マッシャ-<*04>,<SFF>Grow Masher<*04>
251,0xc85bc,<SFF>アンチフライヤ-<*04>,<SFF>Anti-Flyer<*04>
252,0xc85be,<SFF>カメヤマ小を<CD>かいほうした<CD>次の日の<CD>朝ごはんは?<*04>,<SFF>What did you have for breakfast<D3>the morning after you<D3>liberated Kameyama School?<D3><*04>
253,0xc85c0,<SFF>ハムエッグ<*04>,<SFF>Ham and eggs<*04>
