Index[#version],Pointer[#version|],Original,Translated
60,0x1180aa,パ-トナ-の<CD>メダロットを租んで下さい!<*03>,Please select your<D3>partner Medarot!<*03>
61,0x1180ac,何が 知リたいのかな?<*04>,What do you want to know?<*04>
62,0x1180ae,今は コマンドを ひらけません!,Can't open command now!
63,0x1180b0,OBJオ-バ- フリ-ズ!!<*04>,Object overfreeze!<*04>
64,0x1180b2,<SFF>かならず パ-トナ-を<CD>出場させてください!,<SFF>You must send out<D3>your partner Medarot!
65,0x1180b4,「<&BUF04>」メダルで<CD>パ-トナ-を租んで下さい!<*03>,Please assemble your partner<D3>with the "<&BUF04>" Medal!<*03>
66,0x1180b6,色を 変えたい メダロットを<CD>選んでや~!<*04>,Choose the Medarot<D3>you wanna repaint~!<*04>
67,0x1180b8,色を もどすんけ?<CD>メダロットを 選んでや<*04>,Wanna change the color back?<D3>Choose a Medarot.<*04>
68,0x1180ba,<SFF>使用するパ-ツをえらんでください!<*04>,<SFF>Please select<D3>a part to use!<*04>
69,0x1180bc,<SFF>メダバ-ドでは パ-トナ-を<CD>リ-ダ-に してください!,<SFF>In Medabird, your partner<D3>must be the leader!
70,0x1180be,ペイントしてないやんけ!<*03>,You haven't painted it yet!<*03>
71,0x1180c0,Aボタンでパネルがめくれます<CD>パ-ツのいちを おぼえてください!<*04>,Press A to flip the panels.<D3>Memorize the part locations!<*04>
72,0x1180c2,タイミングよく Aボタンを おして<CD>パ-ツを ゲットしよう!<S1E><*04>,Press A with good timing<D3>to get the parts!<S1E><*04>
73,0x1180c4,ざんねん! 「ハズレ」です!<CD>何も ゲットできなかった!<*03>,Too bad! It's a "Miss"!<D3>You didn't get anything!<*03>
74,0x1180c6,<&BUF03>は <&BUF01>パ-ツ<CD><&BUF04>を 手に入れた!<*03>,<&BUF03> obtained the <&BUF01> part,<D3><&BUF04>!<*03>
75,0x1180c8,あいてが 「ロボト-ル」中です!<*04>,The opponent is Robattling!<*04>
76,0x1180ca,ラッキ-! 「ハズレ」です!<CD>何も とられなかった!<*03>,Lucky! It's a "Miss"!<D3>Nothing was taken!<*03>
77,0x1180cc,<&BUF03>は <&BUF01>パ-ツ<CD><&BUF04>を とられた!<*03>,<&BUF03> had the <&BUF01> part,<D3><&BUF04> taken!<*03>
78,0x1180ce,"<@RL,0A,02>メダロット3とパ-ツトレ-ドします<CD>つうしんチェック中!<*04>","<@RL,0A,02>Trading parts with Medarot 3.<D3>Checking connection!<*04>"
79,0x1180d0,"<@RL,0A,00>つうしんに しっぱいした!<S5A><*04>","<@RL,0A,00>Connection failed!<S5A><*04>"
80,0x1180d2,"<@RL,0A,00>「メダ3パスポ-ト」がないと<CD>メダロット3とは つうしんできません<S78><*04>","<@RL,0A,00>Cannot link with Medarot 3<D3>without a ""Meda3 Passport"".<S78><*04>"
81,0x1180d4,もういちど<CD>パ-ツトレ-ドをしますか?<*04>,Would you like to<D3>trade parts again?<*04>
82,0x1180d6,つうしんをおわリます!<S5A><*04>,Ending the connection!<S5A><*04>
83,0x1180d8,パ-ツトレ-ドを できるパ-ツが<CD>ないので つうしんをきリます!<S5A><*04>,"You have no parts to trade,<D3>so the connection will end!<S5A><*04>"
84,0x1180da,パ-ツトレ-ドを<CD>できるパ-ツがあリません!<S46><*04>,You have no parts<D3>available to trade!<S46><*04>
85,0x1180dc,<SFF>色を もどすんけ?<CD>メダロットを 選んでや<*04>,<SFF>Wanna change the color back?<D3>Choose a Medarot.<*04>
86,0x1180de,せんたくした フィ-ルドが<CD>ちがうので ランダムになリます<S5A><*04>,"The selected fields are<D3>different, so it will be random.<S5A><*04>"
87,0x1180e0,<SFF>たいせんする フィ-ルドを<CD>ランダムに えらびます<*04>,<SFF>The battle field<D3>will be chosen at random.<*04>
88,0x1180e2,<SFF>しかいの ひらけた さばくは<CD>「ひこう」タイプに ゆうリ!<*04>,"<SFF>The open Desert is<D3>advantageous for ""Flying"" types!<*04>"
89,0x1180e4,<SFF>まんなかに アリジゴクが あらわれ<CD>ぜんいんを ひきよせる!<*04>,<SFF>An antlion appears in the center<D3>and pulls everyone in!<*04>
90,0x1180e6,<SFF>いどうしているだけで<CD>ぜんいんに ダメ-ジ!<*04>,<SFF>Just moving around<D3>deals damage to everyone!<*04>
91,0x1180e8,<SFF>あしばの わるい さんちは<CD>「たきゃく」タイプに ゆうリ!<*04>,"<SFF>The uneven Mountain is<D3>advantageous for ""Multi-leg"" types!<*04>"
92,0x1180ea,<SFF>がんせきが とんできて<CD>1体に けいぞくダメ-ジの症状!<*04>,<SFF>Flying rocks inflict<D3>continuous damage to one target!<*04>
93,0x1180ec,<SFF>ひばしらが ふきあがリ<CD>ぜんいんに けいぞくダメ-ジの症状!<*04>,<SFF>Pillars of fire inflict<D3>continuous damage to everyone!<*04>
94,0x1180ee,<SFF>かくれるもの おおい しんリんは<CD>「にきゃく」タイプに ゆうリ!<*04>,"<SFF>The dense Forest is<D3>advantageous for ""Bipedal"" types!<*04>"
95,0x1180f0,<SFF>サルが あらわれて<CD>1体に そくばくの症状!<*04>,<SFF>A monkey appears and inflicts<D3>Bind on one target!<*04>
96,0x1180f2,<SFF>いリくんだ 木に はばまれて<CD>タイミングが はかリにくい!<*04>,<SFF>The tangled trees make it<D3>hard to gauge timing!<*04>
97,0x1180f4,<SFF>じめんが ほそうされた まちなかは<CD>「しゃリょう」タイプに ゆうリ!<*04>,"<SFF>The paved City street is<D3>advantageous for ""Vehicle"" types!<*04>"
98,0x1180f6,<SFF>チアガ-ルが 出てきて<CD>1体の こうげきを パワ-アップ!<*04>,<SFF>A cheerleader appears and<D3>powers up one target's attack!<*04>
99,0x1180f8,<SFF>アイドルの ラブリ-ボイスで<CD>メダフォ-スを せいぎょ!<*04>,<SFF>An idol's lovely voice<D3>controls the Medaforce!<*04>
100,0x1180fa,<SFF>ていこうの おおい すいちゅうは<CD>「せんすい」タイプに ゆうリ!<*04>,"<SFF>The high-resistance Underwater is<D3>advantageous for ""Aquatic"" types!<*04>"
101,0x1180fc,<SFF>ゆきだまが とびだして<CD>1体に ていしの症状!<*04>,<SFF>Snowballs fly out and inflict<D3>Stop on one target!<*04>
102,0x1180fe,<SFF>きょうれつな すいあつで<CD>ぜんいんの スピ-ドが ダウン!<*04>,<SFF>The intense water pressure<D3>lowers everyone's speed!<*04>
103,0x118100,<SFF>ちじょうように かいはつされた<CD>メダロットは うちゅうが にがて!<*04>,<SFF>Medarots built for the ground<D3>are bad in Space!<*04>
104,0x118102,<SFF>どこからともなく UFOが あらわれ<CD>1体の メダロットを てんとう!<*04>,<SFF>A UFO appears out of nowhere<D3>and knocks over one Medarot!<*04>
105,0x118104,<SFF>メダロットが ちぢんで<CD>スピ-ドが いっきに ダウン!<*04>,"<SFF>Medarots shrink, causing<D3>their speed to drop drastically!<*04>"
106,0x118106,<FINAL>,<FINAL>
107,0x118002,@0x118000,@0x118000
108,0x118004,@0x118000,@0x118000
109,0x118006,@0x118000,@0x118000
110,0x118008,@0x118000,@0x118000
111,0x11800a,@0x118000,@0x118000
112,0x11800c,@0x118000,@0x118000
113,0x11800e,@0x118000,@0x118000
114,0x118010,@0x118000,@0x118000
115,0x118012,@0x118000,@0x118000
116,0x118014,@0x118000,@0x118000
117,0x118016,@0x118000,@0x118000
118,0x118018,@0x118000,@0x118000
119,0x11801a,@0x118000,@0x118000
120,0x11801c,@0x118000,@0x118000
121,0x11801e,@0x118000,@0x118000
122,0x118020,@0x118000,@0x118000
123,0x11803c,@0x11803a,@0x11803a
124,0x11803e,@0x11803a,@0x11803a
125,0x118040,@0x11803a,@0x11803a
126,0x11805a,@0x118058,@0x118058
127,0x11805c,@0x118058,@0x118058
128,0x11805e,@0x118058,@0x118058
129,0x118060,@0x118058,@0x118058
130,0x118096,@0x118094,@0x118094
131,0x118098,@0x118094,@0x118094
132,0x118108,@0x118106,@0x118106
133,0x11810a,@0x118106,@0x118106
134,0x11810c,@0x118106,@0x118106
135,0x11810e,@0x118106,@0x118106
136,0x118110,@0x118106,@0x118106
137,0x118112,@0x118106,@0x118106
138,0x118114,@0x118106,@0x118106
139,0x118116,@0x118106,@0x118106
140,0x118118,@0x118106,@0x118106
141,0x11811a,@0x118106,@0x118106
142,0x11811c,@0x118106,@0x118106
143,0x11811e,@0x118106,@0x118106
