Index[#version],Pointer[#version|],Original,Translated
034,0x121c5b,<SFF>サブゲ-ム メダスピ-ドキングを<CD>勝ちぬいた あかしだ<*02>,<SFF>Proof of winning the<D3>Meda-Speed King mini-game.<*02>
035,0x121c5d,<SFF>サブゲ-ム メダロ-ドレ-スを<CD>勝ちぬいた あかしだ<*02>,<SFF>Proof of winning the<D3>Meda-Road Race mini-game.<*02>
036,0x121c5f,<SFF>サブゲ-ム メダバ-ドを<CD>勝ちぬいた あかしだ<*02>,<SFF>Proof of winning the<D3>Meda-Bird mini-game.<*02>
037,0x121c61,<SFF>うつくしい者に おくられる<CD>あリがたい サイン らしい<*02>,"<SFF>An autographed photo,<D3>given only to the beautiful.<*02>"
038,0x121c63,<SFF>?????<*02>,<SFF>?????<*02>
039,0x121c65,<SFF>?????<*02>,<SFF>?????<*02>
040,0x121c67,<SFF>?????<*02>,<SFF>?????<*02>
041,0x121c69,<SFF>?????<*02>,<SFF>?????<*02>
042,0x121c6b,<SFF>?????<*02>,<SFF>?????<*02>
043,0x121c6d,<SFF>?????<*02>,<SFF>?????<*02>
044,0x121c6f,<SFF>?????<*02>,<SFF>?????<*02>
045,0x121c71,<SFF>?????<*02>,<SFF>?????<*02>
046,0x121c73,<SFF>?????<*02>,<SFF>?????<*02>
047,0x121c75,<SFF>?????<*02>,<SFF>?????<*02>
048,0x121c77,<FINAL>,<FINAL>
049,0x121c79,@0x121c77,@0x121c77
050,0x121c7b,@0x121c77,@0x121c77
051,0x121c7d,@0x121c77,@0x121c77
052,0x121c7f,@0x121c77,@0x121c77
053,0x121c81,@0x121c77,@0x121c77
054,0x121c83,@0x121c77,@0x121c77
055,0x121c85,@0x121c77,@0x121c77
056,0x121c87,@0x121c77,@0x121c77
057,0x121c89,@0x121c77,@0x121c77
058,0x121c8b,@0x121c77,@0x121c77
059,0x121c8d,@0x121c77,@0x121c77
060,0x121c8f,@0x121c77,@0x121c77
061,0x121c91,@0x121c77,@0x121c77
062,0x121c93,@0x121c77,@0x121c77
063,0x121c95,@0x121c77,@0x121c77
